has_1_20_1_forge,new_file_id,new_name,new_url,new_version,old_file_id,old_name,project_id,slug,title,url
true,5753868,CodeChickenLib-1.20.1-4.4.0.516-universal.jar,https://www.curseforge.com/minecraft/mc-mods/codechicken-lib-1-8/files/5753868,1.20.1,4607274,CodeChickenLib-1.18.2-4.1.4.488-universal.jar,242818,,CodeChicken Lib 1.8.+,https://www.curseforge.com/minecraft/mc-mods/codechicken-lib-1-8
true,7892948,NaturesCompass-1.20.1-1.12.0-forge.jar,https://www.curseforge.com/minecraft/mc-mods/natures-compass/files/7892948,1.20.1,3858196,NaturesCompass-1.18.2-1.9.7-forge.jar,252848,,Nature's Compass,https://www.curseforge.com/minecraft/mc-mods/natures-compass
true,8301383,rechiseled-1.2.5-forge-mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/rechiseled/files/8301383,1.20.1,4660082,rechiseled-1.1.2-forge-mc1.18.jar,558998,,Rechiseled,https://www.curseforge.com/minecraft/mc-mods/rechiseled
true,4964550,SimpleDiscordRichPresence-forge-4.0.3-build.40+mc1.20.1.jar,https://www.curseforge.com/minecraft/mc-mods/simple-discord-rich-presence/files/4964550,1.20.1,4377079,SimpleDiscordRichPresence-forge-3.0.4-build.28+mc1.18.2.jar,334853,,Simple Discord Rich Presence (Forge /  Fabric),https://www.curseforge.com/minecraft/mc-mods/simple-discord-rich-presence
true,8256197,xnet-1.20-6.1.7.jar,https://www.curseforge.com/minecraft/mc-mods/xnet/files/8256197,1.20.1,4415119,xnet-1.18-4.0.9.jar,260912,,XNet,https://www.curseforge.com/minecraft/mc-mods/xnet
true,8256183,rftoolsutility-1.20-6.0.7.jar,https://www.curseforge.com/minecraft/mc-mods/rftools-utility/files/8256183,1.20.1,4380977,rftoolsutility-1.18-4.0.23.jar,342466,,RFTools Utility,https://www.curseforge.com/minecraft/mc-mods/rftools-utility
true,6004490,questsadditions-1.4.7.jar,https://www.curseforge.com/minecraft/mc-mods/quests-additions/files/6004490,1.20.1,4525496,questsadditions-1.18.2-1.4.2.jar,580129,,Quests Additions (Forge),https://www.curseforge.com/minecraft/mc-mods/quests-additions
true,6427817,Quark-4.0-462.jar,https://www.curseforge.com/minecraft/mc-mods/quark/files/6427817,1.20.1,3840125,Quark-3.2-358.jar,243121,,Quark,https://www.curseforge.com/minecraft/mc-mods/quark
true,6206989,ImmersiveEngineering-1.20.1-10.2.0-183.jar,https://www.curseforge.com/minecraft/mc-mods/immersive-engineering/files/6206989,1.20.1,4412849,ImmersiveEngineering-1.18.2-8.4.0-161.jar,231951,,Immersive Engineering,https://www.curseforge.com/minecraft/mc-mods/immersive-engineering
true,5372749,thermal_expansion-1.20.1-11.0.1.29.jar,https://www.curseforge.com/minecraft/mc-mods/thermal-expansion/files/5372749,1.20.1,4382343,thermal_expansion-1.18.2-9.2.0.20.jar,69163,,Thermal Expansion,https://www.curseforge.com/minecraft/mc-mods/thermal-expansion
