dependencies,display_names,file,loader_range,mc_ranges,mod_ids,sha1,versions
,Just Enough Items,jei-1.18.2-forge-10.2.1.1005.jar,"[40,)",,jei,95ac179f935376235eb35fa6a854b5051590dcfe,10.2.1.1005
,KleeSlabs,kleeslabs-forge-1.18.2-11.1.1.jar,"[38,)",,kleeslabs,4b661bab00d3e3ad06dd334c281ad9ef70e4d92e,${file.jarVersion}
"kubejs@[1802.5.1-build.331,);create@*",KubeJS Create,kubejs-create-forge-1802.2.4-build.5.jar,"[40,)",,kubejs_create;kubejs;create,d935501423196afaf79c2b493f25eb98b7df1108,1802.2.4-build.5
"forge@[40.1.0,);rhino@[1802.2.1-build.239,);architectury@[4.7.78,);jei@[1.0.0,);roughlyenoughitems@[8.3.557,)",KubeJS,kubejs-forge-1802.5.5-build.569.jar,"[40,)",,kubejs;forge;rhino;architectury;jei;roughlyenoughitems,ee9bf64beb6ccde483b76147399dd4aae64b631a,1802.5.5-build.569
"kubejs@[1802.5.1-build.331,);immersiveengineering@*",KubeJS Immersive Engineering,kubejs-immersive-engineering-1802.2.1-build.35.jar,"[40,)",,kubejs_immersive_engineering;kubejs;immersiveengineering,a8050aa3d6af28ae1035286730c2bfad1440fe35,1802.2.1-build.35
"kubejs@[1802.5.2-build.407,);mekanism@[10.2.0,)",KubeJS Mekanism,kubejs-mekanism-1802.1.3-build.8.jar,"[40,)",,kubejs_mekanism;kubejs;mekanism,7d42f41b7c3255d1ce9e5dc3aa205cac3d344029,1802.1.3-build.8
"kubejs@[1802.5.2-build.415,);thermal_expansion@[1.3.0,)",KubeJS Thermal,kubejs-thermal-1802.1.5-build.16.jar,"[32,)",,kubejs_thermal;kubejs;thermal_expansion,879a5cb16b6a3a19bee555c849abc33ba8bd18c8,1802.1.5-build.16
,LaserIO,laserio-1.4.5.jar,"[40,)",,laserio,5dccf69e2b3bf3a19b0e19212d97af17508e1329,${file.jarVersion}
"forge@[40.0,41.0);minecraft@[1.18,1.19);ae2@[11.6.2,12.0);jei@[9.7.2.259,11.0);crafttweaker@[9.1,10.0);kubejs@[1802.5,1810.0)",Lazier AE2,lazierae2-1.18.2-3.1.5.jar,"[40.0,41.0)","[1.18,1.19)",lazierae2;forge;minecraft;ae2;jei;crafttweaker;kubejs,7220aff55a58fc35dd5b611a252ffc8bef52aecf,3.1.5
"forge@[40,);minecraft@[1.18.2,1.19)",Lemon Lib,lemonlib-2.1.1.jar,"[36,)","[1.18.2,1.19)",lemonlib;forge;minecraft,f15ae7dd54b3e870810d3193d63f13ce96f8577c,2.1.1
,McJtyLib,mcjtylib-1.18-6.0.20.jar,"[39,)",,mcjtylib,c776425129166796116e3ce8b39102b839db7a3c,${file.jarVersion}
,Mini Utilities,miniutilities-2.0.1.jar,"[40,)",,miniutilities,adce24b9813141fbc27343a970593376baf71e7a,2.0.1
,Mod Name Tooltip,modnametooltip-1.18.1-1.18.0.jar,"[39,)",,modnametooltip,8886987e43b4549edced071b0b10a8645a42b5a0,1.18.0
,Modular Routers,modular-routers-1.18.2-9.1.1-93.jar,"[40,)",,modularrouters,0cdd1b2c14cda67e634c652b331bea15eea3cd2d,${file.jarVersion}
,MoreOverlays,moreoverlays-1.20.11-mc1.18.2.jar,"[39,)",,,e62ce2394e4191416eca0086f4290aa8ee9e2812,1.20.11-mc1.18.2
,OnlineDetectorForge 1.18.2,online_detector-1.18.2-2.1.1.jar,"[40,)",,,9c7591afe14980800019e89997b8a5ad7a44304f,1.18.2-2.1.1
,Pipez,pipez-1.18.2-1.1.5.jar,"[40,)",,pipez,682ec5966f21786ebbda23138fb72aa5d86a503f,1.18.2-1.1.5
"forge@[38,);minecraft@[1.18,);architectury@[3.6.15,)",PolyLib,polylib-forge-1801.0.2-build.13.jar,"[38,)","[1.18,)",polylib;forge;minecraft;architectury,26e46187bbc454950d632fc8a862db6c16046924,1801.0.2-build.13
,Polymorph,polymorph-forge-1.18.2-0.49.jar,"[40,)",,polymorph,6712291d0bc6e5c123e3fc8742d0ea12430c22d3,1.18.2-0.49
"forge@[40,);minecraft@[1.18.2,);architectury@[4.1.39,);kubejs@[1802.5.5-build.545,)",ProbeJS,probejs-4.0.0-fix4-forge.jar,"[40,)","[1.18.2,)",probejs;forge;minecraft;architectury;kubejs,73d6a511b9cc041b16b87f14651c83ebac54e839,4.0.0-fix4
,Quests Additions,questsadditions-1.18.2-1.4.2.jar,"[40,)",,questsadditions,8de3e83d0b3606e95cdbc8d47a4a4713d146fd98,${file.jarVersion}
"minecraft@[1.18.2];refinedstorage@[1.10.2,)",RebornStorage,rebornstorage-1.18.2-4.0.12.jar,"[40,]",[1.18.2],rebornstorage;minecraft;refinedstorage,373aabe38b52cdc549b6277d3e5ecb67d936175e,${file.jarVersion}
,Rechiseled,rechiseled-1.1.2-forge-mc1.18.jar,"[38,)",,rechiseled,c7aabfd91e3f3ac316b37b5356fb0953437efc22,1.1.2
"forge@[40.1,);jei@[9.7.1,)",Refined Storage,refinedstorage-1.10.5.jar,"[40,)",,refinedstorage;forge;jei,071f68923a01a2f8533b1070d540d8e7a4f480df,1.10.5
"refinedstorage@[1.10.2,)",Refined Storage Addons,refinedstorageaddons-0.8.2.jar,"[40,)",,refinedstorageaddons;refinedstorage,bb3018f9e0701248cec2acd3b81b3bc0669f1fe4,0.8.2
,RFToolsBase,rftoolsbase-1.18-3.0.12.jar,"[39,)",,rftoolsbase,9ad969667675be81391a2f06eb05b7fe7b68800a,${file.jarVersion}
,RFToolsBuilder,rftoolsbuilder-1.18-4.1.3.jar,"[39,)",,rftoolsbuilder,696c43ca6239d848bfd30587c3577b2071fef627,${file.jarVersion}
,RFToolsControl,rftoolscontrol-1.18-5.0.10.jar,"[39,)",,rftoolscontrol,48a02680643542f890ac5d588d0b9634e5b31380,${file.jarVersion}
,RFToolsPower,rftoolspower-1.18-4.0.9.jar,"[39,)",,rftoolspower,a340aa42bb2e4e92dda4ef2e3f7e45c9a921ed9d,${file.jarVersion}
,RFToolsStorage,rftoolsstorage-1.18-3.0.12.jar,"[39,)",,rftoolsstorage,68f6a1e044e91261c3d383819ba3d3006e08e550,${file.jarVersion}
,RFToolsUtility,rftoolsutility-1.18-4.0.23.jar,"[39,)",,rftoolsutility,9bdc9ad4fa7bf86b97aadf3d8eda3324d1846286,${file.jarVersion}
"forge@[38.0.0,);minecraft@[1.18,)",Rhino,rhino-forge-1802.2.1-build.255.jar,"[38,)","[1.18,)",rhino;forge;minecraft,75416af83d41e260a0d5a1e9789ba1914ac0bd1b,1802.2.1-build.255
,RSRequestify,rsrequestify-2.2.0.jar,"[28,)",,rsrequestify,bb5a5ff4e85dca771cc2011dc4cbbd5ae912ea3a,${file.jarVersion}
,Shutup Experimental Settings!,shutupexperimentalsettings-1.0.5.jar,"[40,)",,shutupexperimentalsettings,ad722f0e86a61310bdcea8975a106f0a4148ccb2,1.0.5
,Simple Magnets,simplemagnets-1.1.9-forge-mc1.18.jar,"[38,)",,simplemagnets,ccee3d13b60414359ee51295dddf9aebaf3821bb,1.1.9
"forge@[39.0.0,);sophisticatedcore@[1.18.2-0.5.61,)",Sophisticated Backpacks,sophisticatedbackpacks-1.18.2-3.18.57.888.jar,"[18,)",,sophisticatedbackpacks;forge;sophisticatedcore,e056bbd3fcdcb6ddab5507f5a90561d15252d139,${file.jarVersion}
"forge@[39.0.0,)",Sophisticated Core,sophisticatedcore-1.18.2-0.5.82.393.jar,"[18,)",,sophisticatedcore;forge,fbd46364a05140bc45d6fbaaf0242c3bc8369f1e,${file.jarVersion}
"forge@[40,);minecraft@[1.18.2,);architectury@[4.9.83,)",Squat Grow,squatgrow-forge-2.0.2-build.38+mc1.18.2.jar,"[40,)","[1.18.2,)",squatgrow;forge;minecraft;architectury,731bc9e951a28bb5466fcd40d138e90ef9c6011a,2.0.2-build.38+mc1.18.2
,SuperMartijn642,supermartijn642configlib-1.1.7-forge-mc1.18.jar,"[38,)",,supermartijn642configlib,3d3ad634e58a71bb190f3ae03008eb0889d566a5,1.1.7
,SuperMartijn642,supermartijn642corelib-1.1.12-forge-mc1.18.jar,"[38,)",,supermartijn642corelib,7d57e04757fff8ce52b725c3d45b3bdf327e981b,1.1.12
,The One Probe,theoneprobe-1.18-5.1.2.jar,"[38,)",,theoneprobe,7589df5448679b4c55d89d2ea397759725d98e90,${file.jarVersion}
